time,I_AML1,I_AMD1,I_AMD2,I_AMIout,V_VMSw1,V_VMSw2,V_VML1,V_VMC1,V_VMp,V_VMD1,V_VMS1,V_VMD2,V_VMS2,V_VMout
0.0000210000,57.5978164673,1109.7390136719,0.0000000000,1109.7390136719,0.0000000000,1000.0000000000,-755.4339599609,1701.4099121094,54.0240783691,0.0000000000,7.3751454353,-12.6244468689,-5.2493009567,7.3751454353
0.0000215000,47.5135002136,936.0165405273,0.0000000000,936.0165405273,0.0000000000,1000.0000000000,-1760.4006347656,2791.2609863281,-30.8603820801,0.0000000000,7.8766140938,-10.8924331665,-3.0158197880,7.8766140938
0.0000220000,30.1301422119,639.1676635742,0.0000000000,639.1676635742,0.0000000000,1000.0000000000,-2509.3798828125,3603.2841796875,-93.9041900635,0.0000000000,8.2633352280,-9.6274490356,-1.3641135693,8.2633352280
0.0000225000,8.0025272369,262.2791748047,0.0000000000,262.2791748047,0.0000000000,1000.0000000000,-2886.4287109375,4011.6242675781,-125.1956329346,0.0000000000,8.4844961166,-9.0433282852,-0.5588319302,8.4844961166
0.0000230000,-15.5705223083,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,-2950.2036132812,3950.2036132812,0.0000000000,-8.5135192871,0.0000000000,-8.5135192871,0.0000000000,8.5135192871
0.0000235000,-19.6338481903,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,-2584.9401855469,3584.9401855469,0.0000000000,-8.5046558380,0.0000000000,0.0000000000,8.5046558380,8.5046558380
0.0000240000,-36.0677795410,0.0000000000,272.2983703613,272.2983703613,0.0000000000,1000.0000000000,-1718.9409179688,3022.6445312500,-303.7035522461,-21.6970176697,-13.1404285431,0.0000000000,8.5565891266,8.5565891266
0.0000245000,-47.2362403870,0.0000000000,455.8869628906,455.8869628906,0.0000000000,1000.0000000000,-938.3078613281,2172.3117675781,-234.0039062500,-19.9068260193,-11.1842298508,0.0000000000,8.7225961685,8.7225961685
0.0000250000,-51.3956794739,0.0000000000,521.3627319336,521.3627319336,1000.0000000000,0.0000000000,-922.7413330078,1159.1612548828,-236.4199066162,-20.3209457397,-11.3690004349,0.0000000000,8.9519453049,8.9519453049
0.0000255000,-55.1380195618,0.0000000000,579.6898803711,579.6898803711,1000.0000000000,0.0000000000,83.0690155029,64.3189544678,-147.3879699707,-18.1057128906,-8.8939714432,0.0000000000,9.2117414474,9.2117414474
0.0000260000,-50.6000328064,0.0000000000,498.4665527344,498.4665527344,1000.0000000000,0.0000000000,1086.6436767578,-1028.1406250000,-58.5030822754,-15.8893957138,-6.4214553833,0.0000000000,9.4679403305,9.4679403305
0.0000265000,-38.3831710815,0.0000000000,287.8374938965,287.8374938965,1000.0000000000,0.0000000000,1936.1392822266,-1953.3946533203,17.2554321289,-13.9518737793,-4.2979612350,0.0000000000,9.6539125443,9.6539125443
0.0000270000,-20.2567501068,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,0.0000000000,2570.2229003906,-2570.2229003906,0.0000000000,-9.7126464844,0.0000000000,-9.7126464844,0.0000000000,9.7126464844
0.0000275000,-16.2115936279,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,0.0000000000,2949.7006835938,-2949.7006835938,0.0000000000,0.0000000000,9.7025346756,-9.7025346756,0.0000000000,9.7025346756
0.0000280000,5.2450480461,356.2374572754,0.0000000000,356.2374572754,1000.0000000000,0.0000000000,2665.6079101562,-3077.7543945312,412.1464233398,0.0000000000,9.7758388519,-26.6948909760,-16.9190521240,9.7758388519
0.0000285000,26.1143817902,702.5066528320,0.0000000000,702.5066528320,1000.0000000000,0.0000000000,2379.6357421875,-2769.3830566406,389.7473144531,0.0000000000,10.0228004456,-26.4095191956,-16.3867187500,10.0228004456
0.0000290000,43.2336006165,985.4695434570,0.0000000000,985.4695434570,1000.0000000000,0.0000000000,1730.7692871094,-2067.0478515625,336.2786254883,0.0000000000,10.4260311127,-25.4493370056,-15.0233068466,10.4260311127
0.0000295000,53.9746360779,1160.8061523438,0.0000000000,1160.8061523438,1000.0000000000,0.0000000000,813.4301757812,-1073.2377929688,259.8076171875,0.0000000000,10.9438762665,-23.9879493713,-13.0440740585,10.9438762665
0.0000300000,56.6472358704,1200.0126953125,0.0000000000,1200.0126953125,0.0000000000,1000.0000000000,678.6530761719,64.4147567749,256.9321899414,0.0000000000,11.5164623260,-24.7612838745,-13.2448205948,11.5164623260
0.0000305000,58.0574302673,1217.6649169922,0.0000000000,1217.6649169922,0.0000000000,1000.0000000000,-410.6567382812,1245.0122070312,165.6445465088,0.0000000000,12.1028289795,-22.9691047668,-10.8662757874,12.1028289795
0.0000310000,50.6862144470,1087.1665039062,0.0000000000,1087.1665039062,0.0000000000,1000.0000000000,-1449.0186767578,2370.3686523438,78.6500091553,0.0000000000,12.6631660461,-21.2635231018,-8.6003580093,12.6631660461
0.0000315000,35.5586242676,825.8065795898,0.0000000000,825.8065795898,0.0000000000,1000.0000000000,-2278.8239746094,3269.4042968750,9.4197540283,0.0000000000,13.1282606125,-19.9349441528,-6.8066825867,13.1282606125
0.0000320000,14.8836441040,470.8405151367,0.0000000000,470.8405151367,0.0000000000,1000.0000000000,-2772.3906250000,3803.5222167969,-31.1316070557,0.0000000000,13.4421148300,-19.2187690735,-5.7766532898,13.4421148300
0.0000325000,-8.2677717209,74.0608520508,0.0000000000,74.0608520508,0.0000000000,1000.0000000000,-2851.5871582031,3887.9111328125,-36.3238677979,0.0000000000,13.5705480576,-19.2592163086,-5.6886682510,13.5705480576
0.0000330000,-30.4183883667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,-2504.9287109375,3504.9287109375,0.0000000000,-13.5065898895,0.0000000000,-13.5065898895,0.0000000000,13.5065898895
0.0000335000,-33.6115608215,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,-1840.0258789062,2840.0258789062,0.0000000000,-13.4925279617,0.0000000000,0.0000000000,13.4925279617,13.4925279617
0.0000340000,-43.0220336914,0.0000000000,151.4774475098,151.4774475098,0.0000000000,1000.0000000000,-759.1721191406,2057.1499023438,-297.9778137207,-28.9473781586,-15.4372615814,0.0000000000,13.5101165771,13.5101165771
0.0000345000,-46.0576553345,0.0000000000,195.5994567871,195.5994567871,0.0000000000,1000.0000000000,79.6328735352,1141.5875244141,-221.2203979492,-26.8034973145,-13.2257003784,0.0000000000,13.5777969360,13.5777969360
0.0000350000,-42.1939086914,0.0000000000,123.5220642090,123.5220642090,1000.0000000000,0.0000000000,-0.0382232666,229.7118682861,-229.6736450195,-27.1445484161,-13.5041236877,0.0000000000,13.6404247284,13.6404247284
0.0000355000,-39.2377128601,0.0000000000,66.7006530762,66.7006530762,1000.0000000000,0.0000000000,769.9523315430,-611.2730712891,-158.6792449951,-25.1134338379,-11.4425973892,0.0000000000,13.6708374023,13.6708374023
0.0000360000,-30.3529586792,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,0.0000000000,1334.4436035156,-1334.4436035156,0.0000000000,-13.6501188278,0.0000000000,-13.6501188278,0.0000000000,13.6501188278
0.0000365000,-27.9564609528,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,0.0000000000,1940.6500244141,-1940.6500244141,0.0000000000,0.0000000000,13.6359071732,-13.6359071732,0.0000000000,13.6359071732
0.0000370000,-13.5194311142,236.0212707520,0.0000000000,236.0212707520,1000.0000000000,0.0000000000,1965.2602539062,-2378.0783691406,412.8181152344,0.0000000000,13.6784858704,-32.5587043762,-18.8802185059,13.6784858704
0.0000375000,3.0851974487,508.4867553711,0.0000000000,508.4867553711,1000.0000000000,0.0000000000,2071.7319335938,-2497.2585449219,425.5265502930,0.0000000000,13.8460159302,-33.1813125610,-19.3352966309,13.8460159302
0.0000380000,19.3682880402,775.4199218750,0.0000000000,775.4199218750,1000.0000000000,0.0000000000,1865.9475097656,-2277.4265136719,411.4790039062,0.0000000000,14.1467123032,-33.2206993103,-19.0739860535,14.1467123032
