"Time / s","Vmout:Measured voltage","VmD1:Measured voltage","VmD2:Measured voltage","AmD1:Measured current","AmD2:Measured current","AMLr:Measured current"
0.00048699999999999997,9.3791251553444486,-17.370760601181981,0,0,76.26043312680757,-5.564604789942269
0.00048719999999999997,9.3838652731547327,-17.05362821600681,0,0,45.106872709242296,-4.3397881941101701
0.00048739999999999998,9.3817790495796736,-16.816121416269574,0,0,8.3196952257342751,-2.8078689473088607
0.00048759999999999998,9.3737973713383891,-13.556869295352303,-5.1907254473244739,0,0,-2.6245217253272242
0.00048779999999999998,9.3663013322567394,-13.110372066478934,-5.6222305980345455,0,0,-2.824837784081816
0.00048799999999999999,9.3588112876082619,-12.633472928264567,-6.084149646951956,0,0,-3.0021986316613143
0.00048819999999999999,9.3513272325993277,-12.129986320260542,-6.5726681449381141,0,0,-3.1551638640797335
0.00048839999999999995,9.3438491624401419,-11.603942646897702,-7.083755677982583,0,0,-3.2824913140610485
0.00048859999999999995,9.3363770723447388,-11.059555527257908,-7.6131986174315687,0,0,-3.3831471381618128
0.00048879999999999996,9.3289109575309812,-10.501187557121423,-8.1566343579405398,0,0,-3.4563142111258784
0.00048899999999999996,9.3214508132205545,-9.9333148614918318,-8.7095867649492753,0,0,-3.5013987593127647
0.00048919999999999996,9.3139966346389667,-9.3604907256201884,-9.2675025436577414,0,0,-3.5180351793495053
0.00048939999999999997,9.3065484170155433,-8.7873086000296787,-9.8257882340014078,0,0,-3.5060890029012031
0.00048959999999999997,9.2991061555834236,-8.2183647801208544,-10.379847531045993,0,0,-3.4656579835183288
0.00048979999999999998,9.2916698455795608,-7.65822106357402,-10.9251186275851,0,0,-3.397071296776474
0.00048999999999999998,9.2842394822447165,0,-19.600516326667545,0,0,-3.3008868602530361
0.00049019999999999999,9.2790057887077086,0,-19.752878039720919,22.456417973354753,0,-1.6076951316879429
0.00049039999999999999,9.2785148034969769,0,-19.79792350613311,47.014093168709351,0,0.19992186029566916
0.0004906,9.2829456341538581,0,-19.732711236084985,71.289554210293218,0,1.9922508000171231
0.0004908,9.2919999305616692,0,-19.562012682647044,92.920143674848049,0,3.640710227467256
0.00049100000000000001,9.3049236029757019,0,-19.297966542103612,109.73451600230132,0,5.0271232707384677
0.00049120000000000001,9.3205614245126878,0,-18.95920186160626,119.90929906814017,0,6.0522378876738756
0.00049140000000000002,9.3374405726648231,0,-18.569493316155537,122.10062435827999,0,6.6428803214846326
0.00049160000000000002,9.3538770782624674,0,-18.156045741660538,115.54104571886191,0,6.7572261866619208
0.00049180000000000003,9.3680974996361055,0,-17.747531726082219,100.09486495504899,0,6.3878094736175477
0.00049199999999999992,9.3783670434660493,0,-17.372023841368467,76.267883793806206,0,5.5620529856971341
0.00049219999999999993,9.3831148908917648,0,-17.054970664767477,45.170889345220999,0,4.3402825226759898
0.00049239999999999993,9.3810476911210046,0,-16.817362545862171,8.4395170309609888,0,2.8113686021591904
0.00049259999999999994,9.3730651758952668,-5.1837212203408205,-13.562409131449712,0,0,2.622503010452661
0.00049279999999999994,9.3655697223357315,-5.6149280681789859,-13.116211376492476,0,0,2.8231436061002624
0.00049299999999999995,9.3580802627411384,-6.0766022063243801,-12.639558319157898,0,0,3.000842746964834
