"Time / s","Am1-source:Measured current","AmD1:Measured current","AmD4:Measured current","AmD3:Measured current","AmD2:Measured current","VmD1:Measured voltage","VmD4:Measured voltage","VmD3:Measured voltage","VmD2:Measured voltage","VmC1:Measured voltage"
0.0024289999999999997,0,0,0,0,0,-4.1525307931957514,-12.781651706814987,-12.781651706814987,-4.1525307931957514,16.934182500010738
0.0024299999999999999,0,0,0,0,0,-4.200835475239419,-12.716421306540902,-12.716421306540902,-4.200835475239419,16.917256781780321
0.002431,0,0,0,0,0,-4.2493167062859651,-12.651031274522127,-12.651031274522127,-4.2493167062859651,16.900347980808093
0.0024319999999999997,0,0,0,0,0,-4.2979722301597478,-12.585483850025508,-12.585483850025508,-4.2979722301597478,16.883456080185255
0.0024329999999999998,0,0,0,0,0,-4.3467997841464356,-12.519781278873468,-12.519781278873468,-4.3467997841464356,16.866581063019904
0.002434,0,0,0,0,0,-4.3957970990818724,-12.453925813355152,-12.453925813355152,-4.3957970990818724,16.849722912437024
0.0024350000000000001,0,0,0,0,0,-4.4449618994414219,-12.387919712137036,-12.387919712137036,-4.4449618994414219,16.832881611578458
0.0024359999999999998,0,0,0,0,0,-4.4942919034294091,-12.321765240173498,-12.321765240173498,-4.4942919034294091,16.816057143602908
0.0024369999999999999,0,0,0,0,0,-4.543784823068961,-12.255464668616941,-12.255464668616941,-4.543784823068961,16.799249491685902
0.0024380000000000001,0,0,0,0,0,-4.5934383642918712,-12.189020274727916,-12.189020274727916,-4.5934383642918712,16.782458639019787
0.0024389999999999998,0,0,0,0,0,-4.643250227028819,-12.122434341784892,-12.122434341784892,-4.643250227028819,16.765684568813711
0.0024399999999999999,0,0,0,0,0,-4.6932181053000006,-12.055709158993597,-12.055709158993597,-4.6932181053000006,16.748927264293599
0.002441,0,0,0,0,0,-4.7433396873056113,-11.988847021396538,-11.988847021396538,-4.7433396873056113,16.732186708702148
0.0024419999999999997,0,0,0,0,0,-4.7936126555168661,-11.921850229781931,-11.921850229781931,-4.7936126555168661,16.715462885298798
0.0024429999999999999,0,0,0,0,0,-4.8440346867672446,-11.854721090592484,-11.854721090592484,-4.8440346867672446,16.698755777359729
0.002444,0,0,0,0,0,-4.8946034523437261,-11.787461915834101,-11.787461915834101,-4.8946034523437261,16.682065368177827
0.0024449999999999997,0,0,0,0,0,-4.9453166180783903,-11.720075022984293,-11.720075022984293,-4.9453166180783903,16.665391641062683
