"Time / s","Vmout:Measured voltage","VmD1:Measured voltage","VmD2:Measured voltage","AMLr:Measured current","AmD1:Measured current","AmD2:Measured current"
0.00020000000000000001,59.620635986328125,0,-127.80287933349609,-18.401039123535156,0,0
0.00020033333333333334,59.591415405273438,0,-128.58631896972656,3.3063583374023438,306.1112060546875,0
0.00020066666666666667,59.664398193359375,0,-127.16969299316406,24.349288940429688,600.00146484375,0
0.00020100000000000001,59.8223876953125,0,-123.82925415039063,40.577850341796875,805.41375732421875,0
0.00020133333333333334,60.025341033935547,0,-119.21071624755859,48.797775268554688,863.66162109375,0
0.00020166666666666667,60.218341827392578,0,-114.20108795166016,47.40301513671875,745.26165771484375,0
0.000202,60.342494964599609,0,-109.75288391113281,36.693405151367188,455.7738037109375,0
0.00020233333333333334,60.34661865234375,0,-106.69535064697266,18.814447402954102,34.695083618164063,0
0.00020266666666666667,60.197399139404297,-36.598976135253906,-83.795822143554688,19.177789688110352,0,0
0.000203,60.1171875,-41.911491394042969,-78.3228759765625,20.940540313720703,0,0
0.00020333333333333333,60.037082672119141,-47.634269714355469,-72.439895629882813,22.231204986572266,0,0
0.00020366666666666667,59.957084655761719,-53.636482238769531,-66.277687072753906,23.020709991455078,0,0
0.00020400000000000003,59.877193450927734,-59.781028747558594,-59.973358154296875,23.291284561157227,0,0
0.00020433333333333336,59.797409057617188,-65.927589416503906,-53.667228698730469,23.036846160888672,0,0
0.00020466666666666669,59.717731475830078,-71.935829162597656,-47.4996337890625,22.263154983520508,0,0
0.00020500000000000002,59.638160705566406,-125.89820098876953,0,20.987667083740234,0,0
0.00020533333333333336,59.598842620849609,-127.12649536132813,0,2.4352073669433594,0,248.22727966308594
0.00020566666666666669,59.645641326904297,-126.41526031494141,0,-16.581527709960938,0,504.9639892578125
0.00020600000000000002,59.769649505615234,-123.90693664550781,0,-32.313735961914063,0,701.32763671875
0.00020633333333333335,59.940673828125,-120.08836364746094,0,-41.664901733398438,0,780.4295654296875
0.00020666666666666668,60.11322021484375,-115.694091796875,0,-42.804183959960938,0,708.65277099609375
0.00020700000000000002,60.235542297363281,-111.56081390380859,0,-35.528694152832031,0,482.3140869140625
0.00020733333333333335,60.259914398193359,-108.46156311035156,0,-21.303106307983398,0,128.39143371582031
0.00020766666666666668,60.152088165283203,-87.343948364257813,-32.960231781005859,-17.496442794799805,0,0
0.00020800000000000001,60.071937561035156,-82.279800415039063,-37.864067077636719,-19.579477310180664,0,0
0.00020833333333333335,59.991893768310547,-76.71539306640625,-43.268386840820313,-21.221092224121094,0,0
0.00020866666666666668,59.911956787109375,-70.77435302734375,-49.049560546875,-22.384302139282227,0,0
0.00020900000000000001,59.832126617431641,-64.588821411132813,-55.075439453125,-23.042909622192383,0,0
0.00020933333333333334,59.752403259277344,-58.296417236328125,-61.208389282226563,-23.182088851928711,0,0
0.00020966666666666668,59.672786712646484,-52.037197113037109,-67.308380126953125,-22.798725128173828,0,0
0.00021000000000000001,59.593273162841797,0,-124.04891204833984,-21.90147590637207,0,0
0.00021033333333333334,59.544586181640625,0,-125.53004455566406,-6.3549537658691406,193.17208862304688,0
0.00021066666666666667,59.565792083740234,0,-125.33517456054688,10.430000305175781,409.07962036132813,0
0.00021100000000000001,59.654193878173828,0,-123.50655364990234,25.146522521972656,586.96551513671875,0
0.00021133333333333334,59.787807464599609,0,-120.39848327636719,34.898880004882813,673.632568359375,0
0.00021166666666666667,59.929718017578125,0,-116.60698699951172,37.776123046875,633.99127197265625,0
0.000212,60.035419464111328,0,-112.85165405273438,33.230415344238281,458.015625,0
0.00021233333333333334,60.061656951904297,0,-109.83300018310547,22.18511962890625,162.72920227050781,0
0.00021266666666666667,59.975006103515625,-29.267475128173828,-90.682540893554688,17.049076080322266,0,0
0.000213,59.895092010498047,-34.091743469238281,-85.698440551757813,19.431964874267578,0,0
0.00021333333333333333,59.815284729003906,-39.497543334960938,-80.133026123046875,21.376750946044922,0,0
0.00021366666666666669,59.735584259033203,-45.3612060546875,-74.109970092773438,22.839607238769531,0,0
0.00021400000000000002,59.655990600585938,-51.548736572265625,-67.76324462890625,23.787590026855469,0,0
0.00021433333333333336,59.576499938964844,-57.918861389160156,-61.234142303466797,24.199342727661133,0,0
0.00021466666666666669,59.497116088867188,-64.326187133789063,-54.668045043945313,24.065610885620117,0,0
0.00021500000000000002,59.417839050292969,-122.78205871582031,0,23.389432907104492,0,0
0.00021533333333333335,59.364681243896484,-124.50258636474609,0,9.3219051361083984,0,166.32040405273438
0.00021566666666666669,59.374130249023438,-124.66671752929688,0,-6.5664596557617188,0,366.07073974609375
0.00021600000000000002,59.447685241699219,-123.24912261962891,0,-21.146232604980469,0,541.7554931640625
0.00021633333333333335,59.568172454833984,-120.52631378173828,0,-31.548362731933594,0,640.66912841796875
0.00021666666666666668,59.703170776367188,-117.02165985107422,0,-35.732803344726563,0,625.3477783203125
0.00021700000000000002,59.811447143554688,-113.40167999267578,0,-32.892402648925781,0,480.99652099609375
0.00021733333333333335,59.851146697998047,-110.34386444091797,0,-23.612361907958984,0,218.42146301269531
0.00021766666666666668,59.788116455078125,-91.995407104492188,-27.580825805664063,-15.940511703491211,0,0
0.00021800000000000001,59.708450317382813,-87.2908935546875,-32.126007080078125,-18.461658477783203,0,0
0.00021833333333333335,59.628890991210938,-81.964942932128906,-37.292839050292969,-20.566568374633789,0,0
0.00021866666666666668,59.5494384765625,-76.135848999023438,-42.963027954101563,-22.207809448242188,0,0
0.00021900000000000001,59.4700927734375,-69.9332275390625,-49.0069580078125,-23.348403930664063,0,0
0.00021933333333333334,59.390850067138672,-63.495109558105469,-55.286590576171875,-23.962661743164063,0,0
0.00021966666666666668,59.311714172363281,-56.96484375,-61.658584594726563,-24.036762237548828,0,0
0.00022000000000000001,59.232685089111328,0,-121.48930358886719,-23.569059371948242,0,0
0.00022033333333333334,59.174777984619141,0,-123.31190490722656,-11.119749069213867,136.93049621582031,0
0.00022066666666666667,59.170631408691406,0,-123.72315216064453,3.5063400268554688,313.832763671875,0
0.00022100000000000001,59.224750518798828,0,-122.64933776855469,17.429634094238281,477.80657958984375,0
0.00022133333333333334,59.324150085449219,0,-120.29941558837891,27.910934448242188,578.53253173828125,0
0.00022166666666666667,59.440944671630859,0,-117.12358093261719,32.894149780273438,578.25146484375,0
0.000222,59.537879943847656,0,-113.72393035888672,31.413414001464844,459.25152587890625,0
0.00022233333333333333,59.575752258300781,0,-110.73512268066406,23.784214019775391,227.37898254394531,0
0.00022266666666666667,59.521183013916016,-25.531368255615234,-93.510993957519531,15.844101905822754,0,0
