time,Current: AM1-source,Current: AMD1,Current: AMD4,Current: AMD3,Current: AMD2,Voltage: VMD1,Voltage: VMD4,Voltage: VMD3,Voltage: VMD2,Voltage: VM1-C1
0.0014066,0.0,0.0,0.0,0.0,0.0,-3.018509651529407,-14.093317529882349,-14.093317529882352,-3.0185096515294028,17.111827181411755
0.0014066999999999999,0.0,0.0,0.0,0.0,0.0,-3.022887137217605,-14.087228947030862,-14.087228947030866,-3.0228871372176007,17.110116084248467
0.0014068,0.0,0.0,0.0,0.0,0.0,-3.0272668924698456,-14.081138265716499,-14.0811382657165,-3.027266892469841,17.108405158186343
0.0014069,0.0,0.0,0.0,0.0,0.0,-3.0316489152108055,-14.075045487997464,-14.075045487997468,-3.031648915210801,17.10669440320827
0.0014069999999999998,0.0,0.0,0.0,0.0,0.0,-3.036033203364261,-14.068950615932883,-14.068950615932884,-3.0360332033642567,17.104983819297143
0.0014070999999999999,0.0,0.0,0.0,0.0,0.0,-3.0404197548531684,-14.062853651582685,-14.062853651582689,-3.040419754853164,17.103273406435854
0.0014072,0.0,0.0,0.0,0.0,0.0,-3.0448085675996284,-14.056754597007671,-14.056754597007675,-3.044808567599624,17.1015631646073
0.0014073,0.0,0.0,0.0,0.0,0.0,-3.0491996395248364,-14.05065345426954,-14.050653454269543,-3.049199639524832,17.099853093794376
0.0014073999999999998,0.0,0.0,0.0,0.0,0.0,-3.0535929685491805,-14.044550225430807,-14.04455022543081,-3.053592968549176,17.098143193979986
0.0014075,0.0,0.0,0.0,0.0,0.0,-3.0579885525921853,-14.03844491255484,-14.038444912554844,-3.057988552592181,17.096433465147026
0.0014076,0.0,0.0,0.0,0.0,0.0,-3.062386389572496,-14.032337517705908,-14.032337517705912,-3.0623863895724917,17.094723907278404
0.0014077,0.0,0.0,0.0,0.0,0.0,-3.0667864774078986,-14.026228042949121,-14.026228042949125,-3.066786477407894,17.09301452035702
0.0014077999999999999,0.0,0.0,0.0,0.0,0.0,-3.0711888140153567,-14.020116490350427,-14.020116490350429,-3.0711888140153523,17.091305304365783
0.0014079,0.0,0.0,0.0,0.0,0.0,-3.075593397310981,-14.014002861976616,-14.014002861976618,-3.0755933973109766,17.089596259287596
0.001408,0.0,0.0,0.0,0.0,0.0,-3.080000225209984,-14.00788715989539,-14.007887159895391,-3.0800002252099796,17.087887385105372
0.0014081,0.0,0.0,0.0,0.0,0.0,-3.084409295626789,-14.001769386175237,-14.00176938617524,-3.0844092956267843,17.086178681802025
0.0014081999999999999,0.0,0.0,0.0,0.0,0.0,-3.088820606474904,-13.995649542885559,-13.995649542885563,-3.0888206064748998,17.084470149360463
0.0014083,0.0,0.0,0.0,0.0,0.0,-3.093234155667038,-13.989527632096568,-13.989527632096571,-3.0932341556670337,17.082761787763605
0.0014084,0.0,0.0,0.0,0.0,0.0,-3.097649941115047,-13.98340365587932,-13.983403655879322,-3.0976499411150424,17.081053596994366
0.0014085,0.0,0.0,0.0,0.0,0.0,-3.102067960729906,-13.977277616305756,-13.977277616305757,-3.1020679607299018,17.07934557703566
0.0014085999999999999,0.0,0.0,0.0,0.0,0.0,-3.106488212421752,-13.971149515448658,-13.971149515448662,-3.1064882124217474,17.07763772787041
0.0014087,0.0,0.0,0.0,0.0,0.0,-3.1109106940998936,-13.965019355381646,-13.96501935538165,-3.110910694099889,17.07593004948154
0.0014088,0.0,0.0,0.0,0.0,0.0,-3.1153354036728054,-13.958887138179165,-13.958887138179168,-3.115335403672801,17.07422254185197
0.0014089,0.0,0.0,0.0,0.0,0.0,-3.119762339048063,-13.952752865916565,-13.952752865916569,-3.1197623390480587,17.072515204964628
0.0014089999999999999,0.0,0.0,0.0,0.0,0.0,-3.1241914981324452,-13.946616540669993,-13.946616540669995,-3.124191498132441,17.070808038802436
0.0014091,0.0,0.0,0.0,0.0,0.0,-3.128622878831889,-13.940478164516438,-13.94047816451644,-3.1286228788318846,17.069101043348326
0.0014092,0.0,0.0,0.0,0.0,0.0,-3.133056479051443,-13.934337739533783,-13.934337739533785,-3.1330564790514384,17.067394218585225
