time,Vo,Io,VC1,ILr
1.7758945654348474e-07,0.01830317090968762,0.07321268363875048,16.64575110542914,11.165837652285607
2.3630142125404015e-07,0.032218910773102516,0.12887564309241006,29.30903505848832,14.707590920356555
3.142980589345743e-07,0.05646593555674001,0.22586374222696004,51.38445780949478,19.23681476120138
3.922946966151084e-07,0.08699164772111258,0.3479665908844503,79.19176358607662,23.52225559842199
4.875215975779236e-07,0.1321910951335519,0.5287643805342076,120.39361639719291,28.3573348517087
5.827484985407387e-07,0.185344856347902,0.741379425391608,168.87280082237322,32.68677178112665
6.779753995035539e-07,0.24549833354294961,0.9819933341717985,223.77366845610382,36.444415148922786
7.732023004663691e-07,0.3115917142537733,1.2463668570150932,284.1433386480084,39.57397703340512
8.684292014291843e-07,0.3824770652743285,1.529908261097314,348.9480802748379,42.029923976830354
9.636561023919994e-07,0.4569379624873451,1.8277518499493803,417.09090735996574,43.77812497465982
1.0588830033548147e-06,0.5337099593857768,2.1348398375431072,487.4300515237494,44.79630779184428
1.1731822271451756e-06,0.6269763698882334,2.5079054795529334,573.0871212810107,45.04146754507206
1.326247933053799e-06,0.7501760092553946,3.0007040370215785,686.5064544215129,43.71699937427275
1.4793136389624222e-06,0.8667679833090823,3.4670719332363293,794.2218054503621,40.58060187071573
1.6323793448710455e-06,0.9718887586695293,3.887555034678117,891.8033525440038,35.78933446349773
1.7854450507796689e-06,1.0612156130159929,4.2448624520639715,975.3085786686487,29.56737323024521
1.938510756688292e-06,1.1311460417589079,4.5245841670356315,1041.4405529720957,22.19565852214355
2.091576462596915e-06,1.178938493628436,4.715753974513744,1087.6769137089698,13.999321423637916
2.244642168505538e-06,1.2028150518437157,4.811260207374863,1112.3645747820838,5.333436864477642
2.3205965589994344e-06,1.2055120710609548,4.822048284243819,1116.3533891977347,0.9689467657723556
2.3205965589994615e-06,1.2055120710609548,4.822048284243819,1116.3533891977354,0.9689467657708035
2.3389367458316046e-06,1.205589215520297,4.822356862081188,1116.4969844819548,1.4170886686315498e-12
2.3389367458316317e-06,1.2055892155202979,4.822356862081191,1116.4969844819548,-1.176836406102666e-14
2.357276932663775e-06,1.205986168275589,4.823944673102356,1116.349426959914,-0.9653314762288815
2.4489778668244906e-06,1.212781149957594,4.851124599830376,1111.212165187834,-5.749664662951303
2.6085193155383402e-06,1.2432203159837163,4.972881263934865,1085.2346578647878,-13.740264532127954
2.76806076425219e-06,1.2958241345882344,5.183296538352938,1038.923558649184,-21.014412947168424
2.9276022129660395e-06,1.3679457277484852,5.471782910993941,974.6186339358862,-27.24904630929177
3.087143661679889e-06,1.4560901577303578,5.824360630921431,895.4523666813849,-32.17210017617939
3.2900748778253204e-06,1.5845705798765333,6.338282319506133,779.4221955455057,-36.21382710671061
3.4930060939707517e-06,1.7224341164368793,6.889736465747517,654.2831912269389,-37.54615228918333
3.695937310116183e-06,1.8593739133160594,7.437495653264238,529.3273396798851,-36.110880121089075
3.898868526261614e-06,1.985302255461198,7.941209021844792,413.6982641012743,-32.05331113303385
4.1017997424070455e-06,2.0910800986264944,8.364320394505977,315.72374086007824,-25.70866291097329
4.304730958552477e-06,2.1691695318992736,8.676678127597095,242.31782439107891,-17.57476606763167
4.507662174697908e-06,2.21411744222848,8.85646976891392,198.49482240711507,-8.273349220095337
4.667682889854832e-06,2.2241596675813984,8.896638670325594,186.697667249534,-0.5724489919859901
4.667682889854886e-06,2.224159667581398,8.896638670325592,186.69766724953348,-0.5724489919833768
4.682024218634979e-06,2.2241116751062626,8.89644670042505,186.63586935178057,-1.887379141862766e-15
4.682024218635033e-06,2.224111675106262,8.896446700425049,186.6358693517806,2.1580515152663793e-12
4.696365547415126e-06,2.2242062992747846,8.896825197099139,186.70388682602956,0.5690559731672855
4.76807219131559e-06,2.2268809671611125,8.90752386864445,189.07445890085623,3.3946806560464324
4.943236302734859e-06,2.2484330406467263,8.993732162586905,208.72528012738303,10.023586341178321
4.999999999999944e-06,2.259837667791474,9.039350671165897,219.1819134621257,12.052938114638778
4.999999999999998e-06,2.259837667791486,9.039350671165945,219.18191346213652,12.052938114640675
5.000000000000054e-06,2.259837667791498,9.039350671165993,219.18191346214783,12.052938114642643
5.129582578961344e-06,2.2737784706721604,9.095113882688642,232.19648536799244,5.01831909360817e-12
5.129582578961399e-06,2.2737784706721604,9.095113882688642,232.19648536799244,-1.637578961322106e-14
5.1325970916255825e-06,2.273758038474784,9.095032153899137,232.18798478278072,-0.2817386347649974
5.132597091625637e-06,2.273758038474784,9.095032153899137,232.18798478278043,-0.28173863477006206
5.1356116042898205e-06,2.2737375999852114,9.094950399940846,232.16744443890641,-0.5359129785201002
5.15068416761074e-06,2.2738445898079243,9.095378359231697,231.87332874077669,-1.805488293965337
5.226046984215337e-06,2.2795770964635134,9.118308385854053,225.6451907686623,-8.10294684654858
5.362460467137308e-06,2.3115069507988166,9.246027803195267,194.6292088994357,-19.127069517236315
5.498873950059279e-06,2.369823903421531,9.479295613686125,139.39662999091684,-29.376026766059162
5.635287432981251e-06,2.452099959115911,9.808399836463645,62.090688008912714,-38.51795421141469
5.771700915903222e-06,2.5551480793274632,10.220592317309853,-34.436571803399985,-46.262046001464526
5.935877994191654e-06,2.701143143955579,10.804572575822316,-171.07529779745784,-53.38895917573532
6.1000550724800855e-06,2.863941604456211,11.455766417824844,-323.58392546938563,-57.84186802875452
6.264232150768517e-06,3.0351400776665787,12.140560310666315,-484.39194977771996,-59.44722562056984
6.428409229056949e-06,3.206061777388218,12.824247109552871,-645.6447122792619,-58.17109632052656
6.592586307345381e-06,3.3681566094818574,13.47262643792743,-799.5856388313872,-54.1187237163186
6.756763385633813e-06,3.5134114441009068,14.053645776403627,-938.9280151267538,-47.52735310650584
6.920940463922244e-06,3.6347276377369617,14.538910550947847,-1057.1985092672073,-38.75281188567509
7.085117542210676e-06,3.726262514822915,14.90505005929166,-1149.036290958896,-28.250525566072465
7.249294620499108e-06,3.7836744089189907,15.134697635675963,-1210.4339670862557,-16.552178436292323
7.41347169878754e-06,3.8042678838854234,15.217071535541693,-1238.9102443757074,-4.239122225593401
7.431910107270789e-06,3.8042202454808605,15.216880981923442,-1239.991795435041,-2.8378915411048844
7.431910107270843e-06,3.8042202454808596,15.216880981923438,-1239.9917954350435,-2.837891541100771
7.478516221462509e-06,3.8046998088789126,15.21879923551565,-1241.0887452525221,-3.2582825326699094e-12
7.478516221462563e-06,3.8046998088789143,15.218799235515657,-1241.0887452525224,2.930988785010413e-14
7.525122335654228e-06,3.8075651091572014,15.230260436628805,-1239.9912731962581,2.824368321929638
7.690269789231773e-06,3.8365068920866507,15.346027568346603,-1218.7336563859615,12.575732375771745
7.855417242809319e-06,3.893396754155592,15.573587016622367,-1171.5836659214806,21.599548166736746
8.020564696386864e-06,3.975272696655254,15.901090786621015,-1101.1437072432673,29.46453746902398
8.18571214996441e-06,4.07799255039143,16.31197020156572,-1011.1207878504408,35.800974555514784
8.390236906623719e-06,4.226212412609226,16.904849650436905,-879.6118457206143,41.098673671236384
8.594761663283028e-06,4.387247538566887,17.54899015426755,-735.349933697698,43.26493008964389
8.799286419942337e-06,4.548996903990513,18.195987615962053,-589.2412106013572,42.184681231370796
9.003811176601647e-06,4.699459767665492,18.79783907066197,-452.1689703133827,37.98593198117493
9.208335933260956e-06,4.827585152782492,19.310340611129966,-334.1846125490708,31.026765666549075
9.412860689920265e-06,4.924100551292362,19.69640220516945,-243.7722221961131,21.865315384681423
9.617385446579574e-06,4.982158418236328,19.928633672945313,-187.2405598740833,11.215364516155208
9.812177896051665e-06,4.998030091131899,19.992120364527597,-168.3115171765849,0.43389277287301786
9.812177896051773e-06,4.998030091131896,19.992120364527583,-168.31151717658415,0.4338927728669728
9.824081956636227e-06,4.997839659884466,19.991358639537864,-168.27389784811393,3.908873225100251e-12
9.824081956636335e-06,4.997839659884466,19.991358639537864,-168.27389784811396,-3.674838211509268e-14
9.835986017220788e-06,4.997738564991097,19.990954259964386,-168.31668542807225,-0.43127904329729727
