time,V_D2,VS1,VS2,Vp,Vo,Io,VC1,I_D2,ILr,I_D1,V_D1
7.818983243632925e-06,0.0983451283160146,0.2592186432228211,0.3575578802051565,-15.300372775464062,0.2592127518891419,98.35101964969381,644.3398241128588,98.3451283160146,5.874766386677278,0.005891333679208953,5.891333679208953e-06
7.834434780458985e-06,0.0973475281341894,0.260733798444727,0.35806396952298813,-15.554980009441735,0.26071644138879874,97.36488519011765,648.1029248289108,97.3475281341894,5.815180175976019,0.017357055928243544,1.7357055928243546e-05
7.856467173281836e-06,0.09590918923375877,0.26287810906199627,0.35874325146013497,-15.913822435784013,0.26283406222637623,95.95323606937882,653.4017163343678,95.90918923375877,5.7286669308427065,0.044046835620045056,4.404683562004506e-05
7.88616903604401e-06,0.09394116312991803,0.26573832324475066,0.3595804686461758,-16.38957679772065,0.2656393055162578,94.04018085841089,660.4176331438122,93.94116312991802,5.609200672178528,0.09901772849287163,9.901772849287164e-05
7.924666284839752e-06,0.09134198268787214,0.26939225233099184,0.3605321143315022,-16.99213362164575,0.26919013164363004,91.54410337523392,669.2874532094919,91.34198268787213,5.449613552850701,0.20212068736179045,0.00020212068736179045
7.972850777285e-06,0.08801426288401154,0.27387865739989214,0.3615123482857299,-17.723100237132904,0.2734980854017184,88.39483488218532,680.0213932104285,88.01426288401154,5.2425421284382,0.3805719981737818,0.0003805719981737818
8.031406132734478e-06,0.08386356336296225,0.27919629234869964,0.36239098825936733,-18.575179893409604,0.2785274248964051,84.5324308152568,692.4935296534411,83.86356336296224,4.980365090056701,0.6688674522945578,0.0006688674522945578
8.089961488183957e-06,0.07960172765823016,0.28436124855876616,0.3629306691772312,-19.385784201244256,0.28332894151900107,80.63403469799525,704.3125027285547,79.60172765823016,4.707171335665536,1.0323070397650838,0.0010323070397650837
8.168746448643714e-06,0.07370420430170999,0.2910594639182244,0.36313045993956533,-20.407778187495303,0.28942625563785535,75.33741258207903,719.1372513422018,73.70420430170998,4.323317186858167,1.6332082803690449,0.001633208280369045
8.247531409103471e-06,0.0676343376159602,0.29745718505903523,0.36273756573172256,-21.34737613536872,0.29510322811576234,69.98829455923311,732.6733266922564,67.6343376159602,3.922179434281682,2.3539569432729013,0.002353956943272901
8.347277287930373e-06,0.05973004726024958,0.3051039552639,0.36141174444584623,-22.412832406980414,0.3016816971855967,63.15230533855291,747.8768361207791,59.73004726024958,3.3921139012175487,3.422258078303329,0.003422258078303329
8.447023166757274e-06,0.05161377010010618,0.31221889241888356,0.35918786454191254,-23.333433125333592,0.30757409444180633,56.25856807718342,760.8316927314502,51.61377010010617,2.840377581202389,4.6447979770772445,0.004644797977077245
8.567549753263759e-06,0.041578200367874324,0.32006636540265865,0.3553499696395428,-24.24414417115687,0.31377176927166844,47.87279649886454,773.3671669256125,41.578200367874324,2.1499616208259966,6.294596130990216,0.0062945961309902165
8.688076339770243e-06,0.031355961914068524,0.3270488372283145,0.35031084606583435,-24.926406963032562,0.3189548841517658,39.44991499061724,782.3839819186493,31.355961914068523,1.4396318183070718,8.093953076548715,0.008093953076548715
8.808602926276728e-06,0.021016516465033566,0.3331198908696058,0.34413734100862076,-25.373906361866233,0.3231208245435872,31.015582791052147,787.7989044845845,21.016516465033565,0.716080711487412,9.999066326018584,0.009999066326018585
8.926866812743227e-06,0.010826762102865742,0.33814714466172774,0.337047214011715,-25.580819268370625,0.32622045190884924,22.753454855744216,789.5633239554231,10.826762102865741,6.531025720235561e-13,11.926692752878473,0.011926692752878474
8.926866812743335e-06,0.010826762102856402,0.3381471446617319,0.337047214011708,-25.58081926837071,0.3262204519088516,22.753454855736656,789.5633239554231,10.826762102856403,-4.010680676458378e-15,11.926692752880253,0.011926692752880254
9.052811095988775e-06,9.276579504557958e-15,0.3424447151340151,0.32844878663573257,-25.551451258648584,0.3284487866357233,13.995928498301037,787.5628863381039,9.276579504557958e-12,-0.7621416713562134,13.995928498291761,0.013995928498291762
9.052811095988883e-06,-1.6161093444618948,0.34244471513401836,-1.28766055782617,-38.32729061710115,0.3284487866357248,13.995928498293537,787.5628863381006,0.0,-0.7621416713568671,13.995928498293537,0.013995928498293538
9.178755379234322e-06,-1.6177574738215572,0.35709335131062836,-1.2868628776384932,-38.048767070268774,0.3308945961830641,26.19875512756423,781.6518324185156,0.0,-1.4896161741862808,26.19875512756423,0.02619875512756423
9.331699698386388e-06,-1.6107887689509157,0.37655390951811984,-1.2748849129607454,-37.30398759111255,0.3359038559901705,40.650053527949396,769.4048131664435,0.0,-2.3513751024023906,40.650053527949396,0.0406500535279494
9.484644017538453e-06,-1.5940914801368709,0.39757460583183246,-1.2510148181775924,-36.124268630666826,0.34307666195927844,54.49794387255403,751.7762351556624,0.0,-3.1774853927519064,54.49794387255403,0.054497943872554036
9.684626521900394e-06,-1.5580402181630317,0.4268725878195878,-1.2025117935390868,-33.957126174037235,0.35552842462394507,71.34416319564274,721.0750295723736,0.0,-4.1831029724390785,71.34416319564274,0.07134416319564274
9.884609026262334e-06,-1.506744364446468,0.4575418561101942,-1.1355789903639661,-31.133880342664305,0.37116537408250166,86.37648202769253,682.4331389565539,0.0,-5.081354416621549,86.37648202769253,0.08637648202769253
9.999999999999887e-06,-1.4706908309366935,0.4755641132725872,-1.0892029641016623,-29.233062764052697,0.3814878668350311,94.07624643755611,656.8908705791674,0.0,-5.541974940633957,94.07624643755611,0.0940762464375561
9.999999999999996e-06,-1.4706908309366575,0.47556411327260417,-1.089202964101616,-29.23306276405083,0.3814878668350412,94.07624643756294,656.8908705791425,0.0,-5.541974940634367,94.07624643756294,0.09407624643756295
1.0000000000000106e-05,-2.463182030300133,0.47556411327262144,-2.0816941634650816,-63.29984967414754,0.3814878668350515,94.07624643756995,656.8908705791171,0.0,-5.541974940634786,94.07624643756995,0.09407624643756995
1.0000000000000214e-05,-2.463182030300097,0.47556411327263853,-2.081694163465035,-63.29984967414565,0.3814878668350617,94.07624643757686,656.8908705790919,0.0,-5.541974940635199,94.07624643757686,0.09407624643757685
1.0000000000000324e-05,-2.4631820303000707,0.4755641132726671,-2.081694163464999,-63.29984967414391,0.381487866835072,94.07624643759513,656.8908705790665,0.0,-5.541974940636287,94.07624643759513,0.09407624643759513
1.0000000000000875e-05,-2.46318203029994,0.47556411327280984,-2.0816941634648165,-63.29984967413521,0.38148786683512337,94.07624643768648,656.8908705789393,0.0,-5.541974940641729,94.07624643768648,0.09407624643768649
1.0000000000003628e-05,-2.4631820302992873,0.47556411327352344,-2.081694163463907,-63.29984967409175,0.38148786683538016,94.07624643814324,656.8908705783035,0.0,-5.541974940668938,94.07624643814324,0.09407624643814325
1.0000000000017392e-05,-2.463182030296023,0.4755641132770912,-2.0816941634593586,-63.29984967387446,0.38148786683666414,94.07624644042706,656.8908705751251,0.0,-5.541974940804984,94.07624644042706,0.09407624644042706
1.0000000000086214e-05,-2.463182030279701,0.47556411329493,-2.0816941634366173,-63.29984967278804,0.3814878668430839,94.07624645184607,656.8908705592331,0.0,-5.541974941485211,94.07624645184607,0.09407624645184608
1.000000000043032e-05,-2.4631820301980945,0.4755641133841239,-2.081694163322912,-63.29984966735597,0.3814878668751827,94.07624650894121,656.8908704797734,0.0,-5.541974944886348,94.07624650894121,0.09407624650894121
1.0000000002150856e-05,-2.4631820297900604,0.47556411383009367,-2.081694162754384,-63.29984964019559,0.38148786703567683,94.07624679441683,656.8908700824749,0.0,-5.5419749618920315,94.07624679441683,0.09407624679441684
1.0000000010753535e-05,-2.4631820277498915,0.47556411605994237,-2.081694159911744,-63.2998495043937,0.3814878678381474,94.07624822179496,656.890868095982,0.0,-5.541975046920449,94.07624822179496,0.09407624822179496
1.0000000053766927e-05,-2.463182017549044,0.47556412720918595,-2.0816941456985436,-63.299848825384146,0.3814878718505005,94.07625535868549,656.8908581635172,0.0,-5.541975472062531,94.07625535868549,0.09407625535868548
1.0000000268833886e-05,-2.463181966544787,0.47556418295540703,-2.0816940746325163,-63.29984543033553,0.38148789191227056,94.07629104313648,656.8908085011822,0.0,-5.541977597772845,94.07629104313648,0.09407629104313649
1.0000001344168682e-05,-2.463181711522974,0.47556446168658484,-2.0816937193017386,-63.29982845506921,0.38148799222123564,94.07646946534919,656.890560189221,0.0,-5.541988226321916,94.07646946534919,0.0940764694653492
1.0000006720842664e-05,-2.4631804364007777,0.47556585534429174,-2.081691942631842,-63.29974357815695,0.38148849376893557,94.07736157535618,656.8893186222723,0.0,-5.542041369004796,94.07736157535618,0.09407736157535618
1.0000033604212572e-05,-2.4631740604614256,0.4755728236782762,-2.0816830588821262,-63.29931917907859,0.3814910015792996,94.08182209897657,656.8831106089477,0.0,-5.542307080857234,94.08182209897657,0.09408182209897657
1.0000168021062112e-05,-2.463142172555551,0.47560766648432695,-2.081638630127868,-63.297196820768264,0.38150354242768303,94.10412405664394,656.8520660779012,0.0,-5.5436356010661205,94.10412405664394,0.09410412405664394
1.0000840105309811e-05,-2.462982527811321,0.4757819089036097,-2.0814162362328315,-63.28657595712269,0.3815662915784893,94.21561732512039,656.69673182478,0.0,-5.550277225244393,94.21561732512039,0.09421561732512039
1.0004200526548308e-05,-2.462179175363448,0.47665382895162023,-2.0802980159590767,-63.23324494573932,0.3818811594043715,94.7726695472487,655.9172722059999,0.0,-5.58346085781126,94.7726695472487,0.0947726695472487
1.0021002632740791e-05,-2.4580344050722394,0.48103090569330165,-2.074550936879967,-62.9609364024341,0.3834834681922722,97.54743750102946,651.9504669009417,0.0,-5.748758499973302,97.54743750102946,0.09754743750102947
1.0105013163703208e-05,-2.434139421568683,0.5033251025762371,-2.041955955603605,-61.4599063441143,0.39218346596507847,111.14163661115863,630.405421598524,0.0,-6.558708613174023,111.14163661115863,0.11114163661115864
1.0313347507757519e-05,-2.352790003707835,0.560977391373232,-1.9343272023279818,-56.77718102396598,0.4184628013798534,142.5145899933786,565.2748418783792,0.0,-8.428866974156406,142.5145899933786,0.1425145899933786
1.052168185181183e-05,-2.2418057903213597,0.6207767675343555,-1.7909466796156466,-50.8304825336526,0.4508591107057134,169.9176568286421,484.9124784754505,0.0,-10.0639902563124,169.9176568286421,0.1699176568286421
1.0780960822443311e-05,-2.067133117871693,0.6956350552533155,-1.5688304954526096,-41.92304250650829,0.4983026224190835,197.33243283423198,367.1153267571913,0.0,-11.702726841797382,197.33243283423198,0.197332432834232
