"Time / s","Vmout:Measured voltage","VD1:Measured voltage","VD2:Measured voltage","VD3:Measured voltage","VD4:Measured voltage","Am1:Measured current","Am2:Measured current","Am3:Measured current","Am4:Measured current","Vc:Measured voltage","AMLr:Measured current","AMIo:Measured current"
0.00027533333333333338,56.462173930206845,-56.462173930206845,0,0,-56.462173930206845,0,145.69220810453854,145.69220810453854,0,833.66637294732857,10.192752333501584,225.84869572082738
0.00027566666666666668,56.465550667960784,-56.465550667960784,0,0,-56.465550667960784,0,327.96552584965559,327.96552584965559,0,849.74637893594968,-4.4981684299886808,225.86220267184314
0.00027600000000000004,56.528363161381741,-56.528363161381741,0,0,-56.528363161381741,0,493.66628850961206,493.66628850961206,0,785.3653585768501,-18.288291666198518,226.11345264552696
0.00027633333333333335,56.636469173230005,-56.636469173230005,0,0,-56.636469173230005,0,592.94317831618935,592.94317831618935,0,653.2811819304884,-28.463986297830431,226.54587669292002
0.00027666666666666671,56.761089297909045,-56.761089297909045,0,0,-56.761089297909045,0,589.13342605506989,589.13342605506989,0,479.5591536583338,-33.028892635846233,227.04435719163618
0.00027700000000000001,56.864526816259485,-56.864526816259485,0,0,-56.864526816259485,0,466.03166334501145,466.03166334501145,0,298.4018189950275,-31.099250038589602,227.45810726503794
0.00027733333333333337,56.907655306205022,-56.907655306205022,0,0,-56.907655306205022,0,231.10198013690371,231.10198013690371,0,145.36827579974548,-23.078592215777647,227.63062122482009
0.00027766666666666668,56.850689050074088,-44.191073947636987,-12.659615102437101,-12.659615102437101,-44.191073947636987,0,0,0,0,53.070822408192186,-14.667460354807002,227.40275620029635
0.00027800000000000004,56.774938642834428,-42.014725495324797,-14.760213147509631,-14.760213147509631,-42.014725495324797,0,0,0,0,-35.467422897511909,-17.146282954775501,227.09975457133771
0.00027833333333333334,56.699289168833978,-39.531347484363437,-17.167941684470538,-17.167941684470538,-39.531347484363437,0,0,0,0,-136.72698968332676,-19.238516737583673,226.79715667533591
0.0002786666666666667,56.623740493584762,-36.796076646392322,-19.827663847192436,-19.827663847192436,-36.796076646392322,0,0,0,0,-248.42490620872064,-20.897017148373038,226.49496197433905
0.00027900000000000001,56.548292482778002,-33.869726431108276,-22.67856605166973,-22.67856605166973,-33.869726431108276,0,0,0,0,-368.04300654706822,-22.084418172961765,226.19316993111201
0.00027933333333333336,56.472945002283879,-30.81741600041584,-25.655529001868043,-25.655529001868043,-30.81741600041584,0,0,0,0,-492.88470119722297,-22.773974193877176,225.89178000913552
0.00027966666666666667,56.397697918151302,-27.707102224842522,-28.690595693308783,-28.690595693308783,-27.707102224842522,0,0,0,0,-620.13576716725584,-22.950162421715561,225.59079167260521
0.00028000000000000003,56.322551096607654,0,-56.322551096607654,-56.322551096607654,0,0,0,0,0,-746.92778712007919,-22.609032332379289,225.29020438643062
0.00028033333333333333,56.271148200318521,0,-56.271148200318521,-56.271148200318521,0,151.94206234827627,0,0,151.94206234827627,-837.87360429754676,-9.5859186259944167,225.08459280127408
0.00028066666666666669,56.277610911614872,0,-56.277610911614872,-56.277610911614872,0,338.27032504545105,0,0,338.27032504545105,-849.94529367599182,5.3101398292978814,225.11044364645949
0.000281,56.344378895385233,0,-56.344378895385233,-56.344378895385233,0,505.08323291613965,0,0,505.08323291613965,-780.8492679811859,19.145247128729608,225.37751558154093
0.00028133333333333336,56.45628385995284,0,-56.45628385995284,-56.45628385995284,0,602.36541270192822,0,0,602.36541270192822,-644.27358186695824,29.196857410268422,225.82513543981136
0.00028166666666666666,56.583570531234997,0,-56.583570531234997,-56.583570531234997,0,593.9061323635442,0,0,593.9061323635442,-467.16942276279906,33.493203107381277,226.33428212493999
0.00028200000000000002,56.687809961163474,0,-56.687809961163474,-56.687809961163474,0,464.47830926447546,0,0,464.47830926447546,-284.40538271511218,31.203736415242417,226.7512398446539
0.00028233333333333333,56.729532226658456,0,-56.729532226658456,-56.729532226658456,0,222.85647284941166,0,0,222.85647284941166,-131.85486782923587,22.803268597200308,226.91812890663383
0.00028266666666666669,56.669232210730648,-12.843091734830601,-43.826140475900047,-43.826140475900047,-12.843091734830601,0,0,0,0,-41.715544894282182,14.736389233908813,226.67692884292259
0.00028299999999999999,56.593723584720145,-14.949920772815382,-41.643802811904763,-41.643802811904763,-14.949920772815382,0,0,0,0,47.076212700347092,17.168447002438636,226.37489433888058
0.00028333333333333335,56.518315569788697,-17.357561412609908,-39.160754157178786,-39.160754157178786,-17.357561412609908,0,0,0,0,148.32761201568817,19.213418263296795,226.07326227915479
0.00028366666666666666,56.443008031877589,-20.010881747752872,-36.43212628412472,-36.43212628412472,-20.010881747752872,0,0,0,0,259.75587604916024,20.825223808949612,225.77203212751036
0.00028400000000000002,56.367800837106735,-22.849215470055785,-33.518585367050946,-33.518585367050946,-22.849215470055785,0,0,0,0,378.84892764169047,21.967550133887691,225.47120334842694
0.00028433333333333332,56.292693851774438,-25.807729549981726,-30.484964301792711,-30.484964301792711,-25.807729549981726,0,0,0,0,502.92202260501205,22.614667566970148,225.17077540709775
0.00028466666666666668,56.217686942357147,-28.818885781956777,-27.398801160400367,-27.398801160400367,-28.818885781956777,0,0,0,0,629.17827257055035,22.752009804198877,224.87074776942859
0.00028500000000000004,56.142779975509228,-56.142779975509228,0,0,-56.142779975509228,0,0,0,0,754.77169317853327,22.376501788587845,224.57111990203691
0.00028533333333333335,56.092806231664611,-56.092806231664611,0,0,-56.092806231664611,0,158.82500489041337,158.82500489041337,0,843.38608356815348,8.9931821328307713,224.37122492665844
0.00028566666666666671,56.102662908117679,-56.102662908117679,0,0,-56.102662908117679,0,349.88870283587198,349.88870283587198,0,851.42114190784457,-6.1461969450482883,224.41065163247072
0.00028600000000000001,56.173909119873585,-56.173909119873585,0,0,-56.173909119873585,0,518.40260281300789,518.40260281300789,0,777.38005477385468,-20.05950953940507,224.69563647949434
0.00028633333333333337,56.290298696515407,-56.290298696515407,0,0,-56.290298696515407,0,614.06636512007378,614.06636512007378,0,635.92768167273528,-30.00871848147986,225.16119478606163
0.00028666666666666668,56.421014905561208,-56.421014905561208,0,0,-56.421014905561208,0,601.04247423179652,601.04247423179652,0,454.97840751914589,-34.042360906550741,225.68405962224483
0.00028700000000000004,56.526794165168681,-56.526794165168681,0,0,-56.526794165168681,0,465.06100865552708,465.06100865552708,0,270.15954689089978,-31.381952270416861,226.10717666067472
0.00028733333333333334,56.567724108548447,-56.567724108548447,0,0,-56.567724108548447,0,216.24767513703972,216.24767513703972,0,117.74847926904059,-22.575796257955531,226.27089643419379
0.0002876666666666667,56.504732476027755,-43.448647677652176,-13.056084798375576,-13.056084798375576,-43.448647677652176,0,0,0,0,29.488676550278765,-14.772804000565703,226.01892990411102
0.00028800000000000001,56.429443036839828,-41.264892624420646,-15.164550412419182,-15.164550412419182,-41.264892624420646,0,0,0,0,-59.366818986927889,-17.154935041554211,225.71777214735931
0.00028833333333333337,56.354253916676612,-38.787115877776849,-17.56713803889976,-17.56713803889976,-38.787115877776849,0,0,0,0,-160.404915626172,-19.150286172662586,225.41701566670645
0.00028866666666666667,56.279164981868533,-36.070332573249146,-20.208832408619383,-20.208832408619383,-36.070332573249146,0,0,0,0,-271.34765560436836,-20.713896642954118,225.11665992747413
0.00028900000000000003,56.20417609892413,-33.174944097808691,-23.029232001115442,-23.029232001115442,-33.174944097808691,0,0,0,0,-389.69391684782613,-21.810539236422134,224.81670439569652
0.00028933333333333334,56.129287134529818,-30.165376383991319,-25.963910750538499,-25.963910750538499,-30.165376383991319,0,0,0,0,-512.77579891556491,-22.415513919990499,224.51714853811927
0.0002896666666666667,56.054497955549643,-27.108627543579942,-28.945870411969697,-28.945870411969697,-27.108627543579942,0,0,0,0,-637.81876594010907,-22.515204169898698,224.21799182219857
0.00029,55.979808429025042,0,-55.979808429025042,-55.979808429025042,0,0,0,0,0,-762.00419075316131,-22.107383446171205,223.91923371610017
0.00029033333333333336,55.931131594664748,0,-55.931131594664748,-55.931131594664748,0,165.03714680585108,0,0,165.03714680585108,-848.17984493843949,-8.3990233024062917,223.72452637865899
0.00029066666666666667,55.944022756567264,0,-55.944022756567264,-55.944022756567264,0,360.16391327142981,0,0,360.16391327142981,-852.26997769817126,6.9484048506570417,223.77609102626906
0.00029100000000000003,56.019182046067804,0,-56.019182046067804,-56.019182046067804,0,529.83349362704541,0,0,529.83349362704541,-773.55538494230871,20.911539683002815,224.07672818427122
0.00029133333333333333,56.13934626888755,0,-56.13934626888755,-56.13934626888755,0,623.5640515715952,0,0,623.5640515715952,-627.62290661792883,30.742479445267222,224.5573850755502
