time,Current: AMD1,Current: AM1-IL,Voltage: VMD1,Voltage: VM1-VR
7.099999999999999e-05,0.0,2.7832448482513428,-0.8959158062934875,0.8959158062934875
7.2e-05,2.82324481010437,2.82324481010437,0.0,0.8914469480514526
7.3e-05,2.8570330142974854,2.8570330142974854,0.0,0.971998929977417
7.4e-05,2.890282154083252,2.890282154083252,0.0,1.053152322769165
7.5e-05,2.9229884147644043,2.9229884147644043,0.0,1.1348878145217896
7.599999999999999e-05,2.9551479816436768,2.9551479816436768,0.0,1.2171863317489624
7.7e-05,2.9867568016052246,2.9867568016052246,0.0,1.3000285625457764
7.8e-05,3.0178120136260986,3.0178120136260986,0.0,1.3833951950073242
7.9e-05,3.048309564590454,3.048309564590454,0.0,1.4672671556472778
7.999999999999999e-05,0.0,3.0782463550567627,-1.55162513256073,1.55162513256073
8.099999999999999e-05,0.0,3.11824631690979,-1.543885588645935,1.543885588645935
8.2e-05,0.0,3.1582462787628174,-1.536184549331665,1.536184549331665
8.3e-05,0.0,3.1982462406158447,-1.52852201461792,1.52852201461792
