"Time / s","Vc:Measured voltage","AMLr:Measured current","VD1:Measured voltage","VD2:Measured voltage","VD3:Measured voltage","VD4:Measured voltage","Vmout:Measured voltage","Am1:Measured current","Am2:Measured current","Am3:Measured current","Am4:Measured current","AMIo:Measured current"
0.00090366666666666677,396.51315307617188,20.089921951293945,-22.588714599609375,-32.405937194824219,-32.405937194824219,-22.588714599609375,54.994651794433594,0,0,0,0,219.97860717773438
0.00090400000000000007,509.99533081054688,20.686742782592773,-25.292396545410156,-29.628974914550781,-29.628974914550781,-25.292396545410156,54.921375274658203,0,0,0,0,219.68550109863281
0.00090433333333333338,625.50164794921875,20.817249298095703,-28.044895172119141,-26.803298950195313,-26.803298950195313,-28.044895172119141,54.848194122314453,0,0,0,0,219.39277648925781
0.00090466666666666668,740.428466796875,20.478513717651367,-30.783332824707031,-23.991779327392578,-23.991779327392578,-30.783332824707031,54.775112152099609,0,0,0,0,219.10044860839844
0.0009050000000000001,852.185302734375,19.678192138671875,-54.702125549316406,0,0,-54.702125549316406,54.702125549316406,0,0,0,0,218.80850219726563
0.0009053333333333334,914.27386474609375,2.3018798828125,-54.667133331298828,0,0,-54.667133331298828,54.667133331298828,0,234.27305603027344,234.27305603027344,0,218.66853332519531
0.00090566666666666671,876.94482421875,-15.512008666992188,-54.713401794433594,0,0,-54.713401794433594,54.713401794433594,0,476.562744140625,476.562744140625,0,218.85360717773438
0.00090600000000000001,747.6494140625,-30.25140380859375,-54.832599639892578,0,0,-54.832599639892578,54.832599639892578,0,662.33538818359375,662.33538818359375,0,219.33039855957031
0.00090633333333333343,551.959228515625,-39.014801025390625,-54.996444702148438,0,0,-54.996444702148438,54.996444702148438,0,738.28466796875,738.28466796875,0,219.98577880859375
0.00090666666666666673,328.49258422851563,-40.0860595703125,-55.162326812744141,0,0,-55.162326812744141,55.162326812744141,0,672.8985595703125,672.8985595703125,0,220.64930725097656
