time,V_D2,VS1,VS2,Vp,VSW2,VL1,Vo,Io,VC1,I_D2,VSW1,ILr,I_D1,V_D1
0.002142709803970811,0.1348364691455531,-34.80127142538622,35.29124149546638,589.486319530754,999.0518912695712,-50.45686162429922,35.156405026320826,134.8364691455531,460.0224333631163,134.8364691455531,0.9481087304288025,9.481087304288025,0.0,-69.95767645170706
0.0021431325435108846,0.10468836561248387,-34.39413207050876,35.28106049619509,575.68600356724,999.1394242899139,-196.6319133848407,35.17637213058261,104.68836561248388,620.0853341075145,104.68836561248388,0.8605757100860871,8.60575710086087,0.0,-69.57050420109135
0.0021435552830509582,0.05846875837674411,-34.01615406974035,35.23860380079116,563.4399878697606,999.3224795128697,-320.30814567782033,35.18013504241441,58.46875837674411,756.1906373209295,58.46875837674411,0.6775204871302787,6.775204871302787,0.0,-69.19628911215477
0.0021439760168765086,3.4333005882736246e-12,-33.70359940790857,35.16177904165705,554.0288203652683,999.5788745551355,-407.3733623752115,35.16177904165362,3.4333005882736245e-09,852.9234165650785,3.4333005882736245e-09,0.4211254448645441,4.211254448645441,0.0,-68.86537844956219
0.002143976016876554,-28.131806529316677,-7.029972512330183,7.029972512330183,120.7750830440823,999.5788745551664,25.88037493801758,35.16177904165028,0.0,852.9234165730666,0.0,0.42112544483363346,4.2112544483363346,0.0,-42.19175155398046
0.0021443987564166277,-31.717895807387478,-3.4129270226607815,3.4129270226607815,58.63416163609156,999.5653046937985,12.564463207733894,35.13082283004826,0.0,928.366679849973,0.0,0.43469530620151303,4.34695306201513,0.0,-38.54374985270904
0.0021450000000000163,-36.911690867195304,1.8248513987440376,-1.8248513987440376,-31.350987338834784,999.5624005296954,-6.718068715464625,35.086839468451274,0.0,1037.6314565839948,0.0,0.4375994703046092,4.375994703046092,0.0,-33.261988069707236
0.002145000000000044,-36.91169086743314,1.8248513989838813,-1.8248513989838813,-31.350987342955364,999.5624005296957,-6.718068716347574,35.086839468449256,0.0,1037.6314565889986,0.0,0.43759947030432234,4.375994703043223,0.0,-33.261988069465374
0.0021450000000000718,-70.93316548361985,35.086839468447224,-35.84632601517262,-628.8616904596653,0.0,-408.7697661344471,35.086839468447224,0.0,1037.6314565941125,0.0,1000.0,4.375994703039998,0.0,0.0
0.0021450000000000995,-70.93316548363062,35.086839468447394,-35.84632601518543,-628.8616904601022,0.0,-408.76976613910074,35.086839468445184,2.212219449322501e-09,1037.631456599203,0.0,1000.0,4.375994702848856,2.212219449322501e-09,2.212219449322501e-12
0.0021454295005501394,-71.04812532670036,35.1000011695108,-35.984871324798895,-633.391541319256,0.0,-454.97735930170836,35.063254001901456,36.74716760934275,1088.3689006209645,0.0,1000.0,1.2686493607572935,36.74716760934275,0.036747167609342754
0.0021455959063762377,-71.06429245738514,35.11056374550669,-36.005801033426664,-633.9288534897073,0.0,-458.8328354552856,35.058491423958465,52.072321548225105,1092.761688944993,0.0,1000.0,1.0381140391757526e-12,52.072321548225105,0.05207232154822511
0.0021455959063762654,-71.06429245738636,35.11056374550865,-36.00580103342849,-633.9288534897362,2.0958357271894102e-11,-458.83283545524193,35.05849142395788,52.07232155076454,1092.7616889449992,0.0,999.9999999999791,-2.0958357271894101e-10,52.07232155076454,0.05207232155076454
0.0021460254069263053,-71.02684375466455,35.1482059231358,-35.96905174040561,-632.0220951942302,0.32030013905840393,-431.58468885795685,35.05779201425895,90.41390887685006,1063.9270841912455,0.0,999.6796998609416,-3.2030013905840393,90.41390887685006,0.09041390887685007
0.0021464549074763453,-70.87836079751403,35.19472449352669,-35.80605783564279,-625.6298695078219,0.6030923592406592,-354.625323494186,35.072302961871245,122.42153165544458,980.8582853612486,0.0,999.3969076407593,-6.030923592406591,122.42153165544458,0.12242153165544459
0.002146884408026385,-70.63011276713449,35.24071337413209,-35.532018074187526,-615.435129036323,0.8158607286175292,-236.97821835689012,35.098094692946965,142.61868118512552,853.2292081218307,0.0,999.1841392713825,-8.158607286175291,142.61868118512552,0.14261868118512552
0.002147313908576425,-70.30334497646032,35.27608641761315,-35.17416856602704,-602.5456622222895,0.9342667230428074,-92.34618208002667,35.12917641043328,146.91000717986591,695.8261110253591,0.0,999.0657332769572,-9.342667230428074,146.91000717986591,0.1469100071798659
0.002147743409126465,-69.92680097882592,35.29124685441518,-34.76860554606677,-588.3649869311902,0.9449411004846788,62.484540362340056,35.15819543275916,133.05142165602362,526.8253876693348,0.0,999.0550588995153,-9.449411004846787,133.05142165602362,0.13305142165602363
0.002148172909676505,-69.53338472532249,35.27819728719471,-34.35609245301758,-574.4294001342508,0.84700071132196,209.5924142735857,35.1772922723049,100.90501488980689,365.68398657198713,0.0,999.1529992886781,-8.4700071132196,100.90501488980689,0.1009050148898069
0.002148602410226545,-69.15635078593426,35.23146209667623,-33.97733856645928,-562.230105190204,0.6521182321410133,331.9949352988691,35.179012219474984,52.449877201250246,230.88728812347586,0.0,999.347881767859,-6.521182321410132,52.449877201250246,0.052449877201250245
0.002148976119131,-68.86498493625164,35.16150239454866,-33.703482541702996,-554.0295519650945,0.4213048194270327,407.31555855938495,35.16150239454865,1.6272316827325994e-11,147.13529822513658,0.0,999.5786951805729,-4.213048194270327,1.6272316827325994e-11,1.6272316827325996e-14
0.002148976119131028,-42.194280819392596,7.032778424845994,-7.032778424845994,-120.82328868308251,0.4213048194082859,-25.890704717803402,35.1615023945466,0.0,147.1352982202942,0.0,999.5786951805917,-4.213048194082859,0.0,-28.12872396969646
0.002149405619681068,-38.486114378365215,3.356058786860881,-3.356058786860881,-57.65716408890949,0.43493236118098555,-12.355106590480608,35.13005559150434,0.0,70.44720304057108,0.0,999.565067638819,-4.349323611809855,0.0,-31.773996804643456
0.0021499999999999887,-33.262272246709536,-1.82431734735965,1.82431734735965,31.34181232425464,0.4377431912245058,6.71610264091171,35.08658959406919,0.0,-37.62017177394184,0.0,999.5622568087755,-4.377431912245058,0.0,-36.91090694142884
0.0021500000000000165,-33.262272246467035,-1.8243173476001324,1.8243173476001324,31.341812328386133,0.4377431912242149,6.71610264179703,35.08658959406716,0.0,-37.62017177895895,0.0,999.5622568087758,-4.377431912242149,0.0,-36.91090694166729
0.0021500000000000442,0.0,-35.84606105370539,35.08658959406513,628.8568797552622,1000.0,408.76329202880527,35.08658959406513,0.0,-37.620171784067296,0.0,0.0,-4.377431912238946,0.0,-70.93265064777053
0.002150000000000072,2.2110573728140207e-12,-35.846061053718195,35.086589594065295,628.856879755699,1000.0,408.76329203346,35.086589594063085,2.2110573728140206e-09,-37.62017178915881,2.2110573728140206e-09,0.0,-4.377431912047873,0.0,-70.93265064778129
0.00215042273372553,0.03614130546756882,-35.98343758869271,35.09939150021943,633.352781487099,1000.0,454.6717401431334,35.063250194751866,36.14130546756882,-88.02452163023236,36.14130546756882,0.0,-1.3206556762785358,0.0,-71.04668778344458
0.0021505960629889416,0.05209113916958507,-36.005648532002624,35.110329443640616,633.9276359396192,1000.0,458.86208717575494,35.05823830447103,52.09113916958507,-92.78972311537413,52.09113916958507,0.0,-2.1034413100196048e-10,0.0,-71.06388683647366
0.0021505960629889694,0.052091139172123845,-36.00564853200449,35.11032944364258,633.9276359396498,1000.0,458.8620871757296,35.05823830447045,52.091139172123846,-92.78972311537954,52.091139172123846,2.37476704967321e-14,2.37476704967321e-13,0.0,-71.06388683647495
0.0021510187967144273,0.08987289753200192,-35.970479444384175,35.14731008458271,632.0864591569592,999.684485842858,432.43678757416194,35.05743718705071,89.87289753200191,-64.8387608882634,89.87289753200191,0.31551415714210257,3.1551415714210256,0.0,-71.02791663143488
0.002151441530439885,0.12160536228581906,-35.81280989207995,35.19303106446561,625.8906636196137,999.4047928463964,357.72823840679825,35.07142570217979,121.60536228581906,15.785890819984226,121.60536228581906,0.5952071536036477,5.952071536036477,0.0,-70.88423559425974
0.002151864264165343,0.14203766103846682,-35.546849341167245,35.2385436141216,615.9814046518272,999.192096607039,243.22904522770693,35.09650595308314,142.0376610384668,139.9816467275047,142.0376610384668,0.8079033929609452,8.079033929609452,0.0,-70.64335529425038
0.002152286997890801,0.14720008957235187,-35.19819171714841,35.27422606604575,603.4021402222893,999.0699875623533,101.86817220387763,35.1270259764734,147.20008957235186,293.79967513618624,147.20008957235186,0.9300124376467442,9.300124376467442,0.0,-70.32521769362181
0.002152709731616259,0.13484591385337197,-34.80092076685283,35.29086530532078,589.4807329361514,999.0518473219071,-50.44884725047871,35.15601939146741,134.84591385337197,460.01996163623414,134.84591385337197,0.9481526780929372,9.481526780929372,0.0,-69.95694015832025
0.002153132465341717,0.10469901331927807,-34.393771746687605,35.28068982697926,575.6799905626613,999.1393754247553,-196.6294693907845,35.175990813659986,104.69901331927807,620.0888542528785,104.69901331927807,0.8606245752447816,8.606245752447816,0.0,-69.5697625603476
0.0021535551990671748,0.05848011429066203,-34.015781864981896,35.23823878298893,563.4334701670117,999.3224286535371,-320.3121352965178,35.17975866869827,58.48011429066203,756.2010937830432,58.48011429066203,0.6775713464628765,6.775713464628765,0.0,-69.19554053368017
0.002153976003056455,3.081594424081402e-12,-33.703164740006756,35.16140249093968,554.0203563709973,999.578876942311,-407.3961440754025,35.161402490936595,3.081594424081402e-09,852.9546646467162,3.081594424081402e-09,0.42112305768899677,4.211230576889967,0.0,-68.86456723094335
0.002153976003056496,-28.1329277501179,-7.028474740812555,7.028474740812555,120.7493512963257,999.578876942339,25.874860992069756,35.16140249093358,0.0,852.9546646539435,0.0,0.4211230576610281,4.211230576610281,0.0,-42.18987723174614
0.002154398736781954,-31.71893083770226,-3.411516199375626,3.411516199375626,58.609923660889535,999.5653110441718,12.55926935590486,35.130447037077886,0.0,928.3961180273774,0.0,0.43468895582821515,4.346889558282151,0.0,-38.54196323645351
0.0021549999999999885,-36.912788120308846,1.8263253956020122,-1.8263253956020122,-31.376310637413326,999.562412081082,-6.72349513658861,35.086462724706834,0.0,1037.662217855084,0.0,0.43758791891798055,4.3758791891798055,0.0,-33.26013732910482
