time,Current: AMDpa,Current: AMDpb,Current: AMDpc,Current: AMDpd,Current: AMDP1,Current: AMDP2,Voltage: VMCF,Voltage: VMDpa,Voltage: VMDpb,Voltage: VMDpc,Voltage: VMDpd,Voltage: VMDP1,Voltage: VMDP2,Voltage: VMout
0.023941999999999998,1.452738642692566,1.452738642692566,0.0,0.0,-0.0009388327598571777,0.8284502625465393,2.031589984893799,0.0,0.0,-2.031589984893799,-2.031589984893799,-13.46789264678955,-11.831507682800293,13.46789264678955
0.023943,1.475059151649475,1.475059151649475,0.0,0.0,-0.0009385347366333008,0.8282159566879272,2.028280258178711,0.0,0.0,-2.028280258178711,-2.028280258178711,-13.468831062316895,-11.003174781799316,13.468831062316895
0.023944,1.4880541563034058,1.4880541563034058,0.0,0.0,-0.0009277462959289551,0.8187253475189209,2.019124984741211,0.0,0.0,-2.019124984741211,-2.019124984741211,-13.469764709472656,-10.179703712463379,13.469764709472656
0.023944999999999998,1.4917337894439697,1.4917337894439697,0.0,0.0,-0.000906527042388916,0.8000361919403076,2.007241725921631,0.0,0.0,-2.007241725921631,-2.007241725921631,-13.470682144165039,-9.370323181152344,13.470682144165039
0.023946,1.486278772354126,1.486278772354126,0.0,0.0,-0.0008751153945922852,0.7723426222801208,1.995715856552124,0.0,0.0,-1.995715856552124,-1.995715856552124,-13.471572875976562,-8.584134101867676,13.471572875976562
0.023947,1.4720377922058105,1.4720377922058105,0.0,0.0,-0.0008338093757629395,0.7359724640846252,1.9875413179397583,0.0,0.0,-1.9875413179397583,-1.9875413179397583,-13.472427368164062,-7.829976558685303,13.472427368164062
0.023948,1.4495201110839844,1.4495201110839844,0.0,0.0,-0.0007832646369934082,0.6913819909095764,1.9855643510818481,0.0,0.0,-1.9855643510818481,-1.9855643510818481,-13.473236083984375,-7.116299152374268,13.473236083984375
0.023948999999999998,1.4193873405456543,1.4193873405456543,0.0,0.0,-0.0007238984107971191,0.6391492486000061,1.9924299716949463,0.0,0.0,-1.9924299716949463,-1.9924299716949463,-13.473989486694336,-6.451033592224121,13.473989486694336
0.02395,1.3824416399002075,1.3824416399002075,0.0,0.0,0.8024768233299255,-0.0009093284606933594,2.0105326175689697,0.0,0.0,-2.0105326175689697,-2.0105326175689697,-13.474679946899414,-13.474679946899414,13.474679946899414
0.023951,1.4228023290634155,1.4228023290634155,0.0,0.0,0.820400595664978,-0.000929713249206543,2.028108835220337,0.0,0.0,-2.028108835220337,-2.028108835220337,-12.663241386413574,-13.47559928894043,13.47559928894043
0.023951999999999998,1.454319953918457,1.454319953918457,0.0,0.0,0.8293523788452148,-0.000939786434173584,2.0337376594543457,0.0,0.0,-2.0337376594543457,-2.0337376594543457,-11.838364601135254,-13.476533889770508,13.476533889770508
0.023953,1.47666335105896,1.47666335105896,0.0,0.0,0.8291170597076416,-0.0009396076202392578,2.0304219722747803,0.0,0.0,-2.0304219722747803,-2.0304219722747803,-11.009129524230957,-13.477473258972168,13.477473258972168
0.023954,1.4896708726882935,1.4896708726882935,0.0,0.0,0.8196153044700623,-0.0009287595748901367,2.021254539489746,0.0,0.0,-2.021254539489746,-2.021254539489746,-10.184762954711914,-13.478407859802246,13.478407859802246
0.023955,1.4933528900146484,1.4933528900146484,0.0,0.0,0.8009049892425537,-0.0009075403213500977,2.0093560218811035,0.0,0.0,-2.0093560218811035,-2.0093560218811035,-9.374503135681152,-13.479326248168945,13.479326248168945
0.023955999999999998,1.487890362739563,1.487890362739563,0.0,0.0,0.7731804847717285,-0.0008760690689086914,1.9978152513504028,0.0,0.0,-1.9978152513504028,-1.9978152513504028,-8.5874605178833,-13.480217933654785,13.480217933654785
0.023957,1.4736323356628418,1.4736323356628418,0.0,0.0,0.7367699146270752,-0.0008347630500793457,1.9896295070648193,0.0,0.0,-1.9896295070648193,-1.9896295070648193,-7.832485198974609,-13.481073379516602,13.481073379516602
0.023958,1.4510884284973145,1.4510884284973145,0.0,0.0,0.6921301484107971,-0.0007840394973754883,1.9876481294631958,0.0,0.0,-1.9876481294631958,-1.9876481294631958,-7.118035316467285,-13.48188304901123,13.48188304901123
0.023958999999999998,1.4209213256835938,1.4209213256835938,0.0,0.0,0.639839768409729,-0.0007246732711791992,1.9945189952850342,0.0,0.0,-1.9945189952850342,-1.9945189952850342,-6.45205020904541,-13.482637405395508,13.482637405395508
0.02396,1.383933663368225,1.383933663368225,0.0,0.0,-0.000910341739654541,0.8033434748649597,2.012639045715332,0.0,0.0,-2.012639045715332,-2.012639045715332,-13.483328819274902,-13.483328819274902,13.483328819274902
0.023961,1.4243364334106445,1.4243364334106445,0.0,0.0,-0.0009306669235229492,0.8212859034538269,2.0302321910858154,0.0,0.0,-2.0302321910858154,-2.0302321910858154,-13.484249114990234,-12.671013832092285,13.484249114990234
0.023961999999999997,1.4558866024017334,1.4558866024017334,0.0,0.0,-0.000940859317779541,0.8302465677261353,2.035865068435669,0.0,0.0,-2.035865068435669,-2.035865068435669,-13.485184669494629,-11.845247268676758,13.485184669494629
0.023962999999999998,1.4782525300979614,1.4782525300979614,0.0,0.0,-0.0009405612945556641,0.8300102353096008,2.032543897628784,0.0,0.0,-2.032543897628784,-2.032543897628784,-13.486124992370605,-11.015118598937988,13.486124992370605
0.023964,1.4912726879119873,1.4912726879119873,0.0,0.0,-0.0009297728538513184,0.8204975128173828,2.023364305496216,0.0,0.0,-2.023364305496216,-2.023364305496216,-13.487060546875,-10.189865112304688,13.487060546875
0.023965,1.4949569702148438,1.4949569702148438,0.0,0.0,-0.0009084939956665039,0.8017662763595581,2.011451005935669,0.0,0.0,-2.011451005935669,-2.011451005935669,-13.487979888916016,-9.37873363494873,13.487979888916016
0.023965999999999998,1.4894871711730957,1.4894871711730957,0.0,0.0,-0.0008769631385803223,0.7740111351013184,1.999895691871643,0.0,0.0,-1.999895691871643,-1.999895691871643,-13.488872528076172,-8.590845108032227,13.488872528076172
0.023967,1.4752120971679688,1.4752120971679688,0.0,0.0,-0.0008355975151062012,0.7375605702400208,1.991698980331421,0.0,0.0,-1.991698980331421,-1.991698980331421,-13.489728927612305,-7.83505916595459,13.489728927612305
0.023968,1.4526424407958984,1.4526424407958984,0.0,0.0,-0.0007849335670471191,0.6928719282150269,1.9897133111953735,0.0,0.0,-1.9897133111953735,-1.9897133111953735,-13.49053955078125,-7.119843006134033,13.49053955078125
0.023968999999999997,1.4224411249160767,1.4224411249160767,0.0,0.0,-0.0007255077362060547,0.6405244469642639,1.9965894222259521,0.0,0.0,-1.9965894222259521,-1.9965894222259521,-13.491294860839844,-6.4531450271606445,13.491294860839844
0.023969999999999998,1.3854120969772339,1.3854120969772339,0.0,0.0,0.8042017817497253,-0.0009112358093261719,2.0147268772125244,0.0,0.0,-2.0147268772125244,-2.0147268772125244,-13.491986274719238,-13.491986274719238,13.491986274719238
0.023971,1.4258567094802856,1.4258567094802856,0.0,0.0,0.8221626877784729,-0.0009316802024841309,2.032336711883545,0.0,0.0,-2.032336711883545,-2.032336711883545,-12.678804397583008,-13.492907524108887,13.492907524108887
0.023972,1.4574390649795532,1.4574390649795532,0.0,0.0,0.8311322331428528,-0.0009418129920959473,2.037973642349243,0.0,0.0,-2.037973642349243,-2.037973642349243,-11.852156639099121,-13.493844032287598,13.493844032287598
0.023972999999999998,1.4798274040222168,1.4798274040222168,0.0,0.0,0.830894947052002,-0.0009416341781616211,2.03464674949646,0.0,0.0,-2.03464674949646,-2.03464674949646,-11.021142959594727,-13.49478530883789,13.49478530883789
0.023974,1.492859959602356,1.492859959602356,0.0,0.0,0.82137131690979,-0.0009307265281677246,2.0254552364349365,0.0,0.0,-2.0254552364349365,-2.0254552364349365,-10.1950101852417,-13.495721817016602,13.495721817016602
0.023975,1.496546745300293,1.496546745300293,0.0,0.0,0.8026193380355835,-0.0009094476699829102,2.0135269165039062,0.0,0.0,-2.0135269165039062,-2.0135269165039062,-9.383014678955078,-13.496642112731934,13.496642112731934
0.023975999999999997,1.4910695552825928,1.4910695552825928,0.0,0.0,0.7748338580131531,-0.0008779168128967285,2.0019569396972656,0.0,0.0,-2.0019569396972656,-2.0019569396972656,-8.594287872314453,-13.497535705566406,13.497535705566406
0.023977,1.4767776727676392,1.4767776727676392,0.0,0.0,0.7383436560630798,-0.000836491584777832,1.9937491416931152,0.0,0.0,-1.9937491416931152,-1.9937491416931152,-7.837698936462402,-13.498393058776855,13.498393058776855
0.023978,1.4541823863983154,1.4541823863983154,0.0,0.0,0.6936066150665283,-0.0007857084274291992,1.991758942604065,0.0,0.0,-1.991758942604065,-1.991758942604065,-7.121723651885986,-13.499204635620117,13.499204635620117
0.023979,1.4239470958709717,1.4239470958709717,0.0,0.0,0.6412025690078735,-0.0007262229919433594,1.9986400604248047,0.0,0.0,-1.9986400604248047,-1.9986400604248047,-6.454319000244141,-13.499960899353027,13.499960899353027
